id,Target_Index,bleu_bestmbr,chrf_bestmbr,comet_bestmbr,eTranslation,HuaweiTSC,JDExploreAcademy,Lan-Bridge,M2M100_1.2B-B4,Online-A,Online-B,Online-G,Online-W,Online-Y,PROMT,QUARTZ_TuneReranking,refA,SRPOL
20,782,"Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «инициирован несколько дней назад», до того, как Госдепартамент США объявил об одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «инициирован несколько дней назад», до того, как Государственный департамент США объявил об одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами был подписан несколько дней назад еще до того, как Госдеп США объявил об одобрении возможной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «начат несколько дней назад», прежде чем Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был ""парафирован несколько дней назад"", прежде чем Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами был ""инициирован несколько дней назад"", до того, как Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был <unk>инициирован несколько дней назад<unk>, прежде чем Госдепартамент США объявил об одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был ""инициирован несколько дней назад"", прежде чем Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «парафирован несколько дней назад», прежде чем Государственный департамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «инициирован несколько дней назад», до того, как Госдепартамент США объявил об одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был ""парафирован несколько дней назад"", прежде чем Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был ""парафирован несколько дней назад"", до того как Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был «парафирован несколько дней назад», прежде чем Госдепартамент США объявил об одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже «парафирован несколько дней назад», до того как Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами был ""парафирован несколько дней назад"", прежде чем госдепартамент США объявил о одобрении потенциальной продажи американских фрегатов.","В субботу в Министерстве вооруженных сил Франции сообщили, что контракт по оборонному заказу для Афин был «согласован несколько дней назад», до того, как Государственный департамент США заявил о получении одобрения на будущие поставки американских фрегатов.","Министерство вооруженных сил Франции заявило в субботу, что оборонный контракт с Афинами уже был ""инициирован несколько дней назад"", до того, как Госдепартамент США объявил о своем одобрении потенциальной продажи американских фрегатов."
21,977,"Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебной системы.","Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебной системы.","Правительство в Варшаве также вовлекается в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, которая не дает Польше средств на восстановление после пандемии, утверждая, что политика правительства подрывает независимость судебных органов.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает судебную независимость там.","Правительство в Варшаве также участвует в усиливающемся споре с Европейской комиссией, исполнительным органом ЕС, который удерживает средства на восстановление после пандемии в Польше, заявляя, что политика правительства подрывает независимость судебной власти в стране.","Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, который удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает там независимость судебных органов.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебной системы там.","Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительной властью ЕС, которая удерживает средства для восстановления пандемии из Польши, заявив, что политика правительства подрывает независимость судебной власти там.","Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, который удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебной системы.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебной системы.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление после пандемии в Польше, заявляя, что политика правительства подрывает независимость судебной системы там.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, которая удерживает средства на восстановление Польши после пандемии, заявляя, что политика правительства подрывает независимость судебной системы.","Правительство Варшавы также вовлечено в обостряющийся спор с Европейской комиссией, исполнительной властью ЕС, которая удерживает средства на восстановление после пандемии из Польши, заявляя, что политика правительства подрывает независимость судебных органов в этой стране.","Правительство в Варшаве также вовлечено в усиливающийся спор с Европейской комиссией, исполнительным органом ЕС, который удерживает средства на восстановление после пандемии из Польши, заявив, что политика правительства подрывает судебную независимость там.","Правительство в Варсове также вовлечено в обостряющийся спор с Европейской комиссией - исполнительным органом ЕС, которая удерживает из Польши средства на пандемическое восстановление, заявляя, что политика правительства подрывает независимость судебной власти в этой стране.","Правительство в Варшаве также участвует в усиливающемся споре с Европейской комиссией, исполнительной ветвью ЕС, которая не предоставляет Польше средства для восстановления после пандемии, сообщая, что политика правительства нарушает юридическую независимость.","Правительство в Варшаве также вовлечено в обостряющийся спор с Европейской комиссией, исполнительным органом ЕС, который удерживает средства на восстановление после пандемии от Польши, заявляя, что политика правительства подрывает независимость судебной системы в этой стране."
22,1706,"Пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это поле, если у вас есть время. Однако если у вас нет времени, позвольте мне пожелать вам отличного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть момент, однако, если у вас нет времени, то я желаю вам замечательного дня и еще раз благодарю вас.","Пожалуйста, пожалуйста, заполните это, если у вас есть момент, но если у вас нет времени, то я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, однако если у вас нет времени, то я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть время, но если у вас нет времени, то я могу пожелать вам прекрасный день и еще раз спасибо.","Пожалуйста, заполните это, если у вас есть момент, однако, если у вас нет времени, то позвольте мне пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, я могу пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, тогда позвольте мне пожелать вам чудесного дня и еще раз поблагодарить вас.","Пожалуйста, заполните его, если у вас есть минутка, но если у вас нет времени, позвольте пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, но если у вас нет времени, позвольте мне пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, заполните это, если у вас есть минутка, однако, если у вас нет времени, позвольте мне пожелать вам прекрасного дня и еще раз поблагодарить вас.","Пожалуйста, если у вас есть время, заполните эту строку, однако если у вас нет времени, то позвольте мне пожелать вам замечательного дня и поблагодарить вас еще раз.","Пожалуйста, заполните ее, если у Вас есть свободное время, однако, если Вам некогда, желаю Вам хорошего дня и снова благодарю Вас.","Пожалуйста, заполните его, если у вас есть момент, однако, если у вас нет времени, то я могу пожелать вам прекрасного дня и поблагодарить вас еще раз."
23,1098,"Когда я вернул машину, агент обнаружил под машиной царапины (которых я не наносил).","Когда я вернул машину, агент обнаружил под машиной царапины (которых я не наносил).","Когда мне вернули машину, агент обнаружил под машиной царапины (которых я не причинял).","Когда я вернул машину, агент обнаружил под машиной царапины (которых я не вызывал).","Когда я вернул машину, агент обнаружил царапины под машиной (которые я не причинял).","Когда я вернул машину, агент обнаружил царапины под машиной (которые я не наносил).","Когда я вернул машину, агент обнаружил под машиной царапины (которые я не причинил).","Когда я вернул машину, агент нашел царапины под машиной (которые я не вызывал).","Когда я вернул машину, агент обнаружил царапины под машиной (которых я не стал вызывать).","Когда я вернул машину, агент обнаружил под машиной царапины (которых я не наносил).","Когда я вернул машину, агент обнаружил царапины под машиной (которые я не вызывал).","Когда я вернул машину, агент обнаружил царапины под машиной (которые я не наносил).","Когда я вернул машину, агент обнаружил царапины под автомобилем (которые я не причинил).","Когда я вернул машину, агент обнаружил под машиной царапины (которые я не причинил).","Когда я вернул машину, агент обнаружил под машиной царапины (которые я не причинил).","Когда я вернул машину, агент обнаружил царапины на дне машины (которые были не по моей вине).","Когда я вернул машину, агент обнаружил царапины под машиной (которые я не причинил)."
24,74,Нажмите «Настройки».,Нажмите «Настройки».,Нажмите «Настройки».,Нажмите Настройки.,Нажмите Настройки.,Нажмите Настройки.,Нажмите <unk>Настройки<unk>.,Нажмите на настройки.,Нажмите Настройки.,Нажмите «Настройки».,Нажмите Настройки.,Нажмите пункт Настройки.,Нажмите «Настройки».,Нажмите Настройки.,Тап Стинги.,Нажмите «Настройки».,"Нажмите ""Настройки""."
25,1863,Подойдет любой универсальный шнур micro-USB.,Подойдет любой универсальный шнур micro-USB.,Любой стандартный кабель типа microUSB подойдет.,Любой общий микро-USB шнур должен работать.,Любой универсальный шнур micro-USB должен работать.,Любой стандартный шнур micro-USB должен работать.,Любой универсальный шнур micro-USB должен работать.,Любой микро-USB кабель должен работать.,Любой универсальный кабель micro-USB должен работать.,Подойдет любой универсальный шнур micro-USB.,Любой универсальный кабель micro-USB должен работать.,Любой универсальный шнур micro-USB должен работать.,Любой универсальный шнур micro-USB должен работать.,Должен работать любой родовой шнур micro-USB.,Любой генный микрокорд должен работать.,Должен работать любой универсальный кабель micro-USB.,Любой общий шнур micro-USB должен работать.
26,954,Извините за неудобства,Извините за неудобства.,Извините за неудобства,Извините за неудобства,Извините за неудобства,Извините за неудобства,Извините за неудобства,Извините за неудобства,Приносим извинения за неудобства,Приносим извинения за неудобства,Приносим извинения за доставленные неудобства,Извините за неудобства,Извините за неудобства,Приносим извинения за доставленные неудобства,Извиняемся за неудобства,Простите за неудобства,Извините за неудобства
27,1485,"Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Бессмысленно сказать, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Излишне говорить, что это был хаос.","Стоит ли говорить, что это был хаос.","Само собой разумеется, что это был хаос.","Не нужно говорить, что это был полный беспорядок.","Излишне говорить, что это был хаос."
28,1817,"Не знаю, откуда у него более высокая цена.","Не знаю, откуда у него более высокая цена.","Не знаю, откуда у него более высокая цена.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда он получил более высокую цену.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда у него более высокая цена.","Неизвестно, откуда он получил самую высокую цену.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда у него более высокая цена.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда у него более высокая цена.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда он взял эту высокую цену.","Не знаю, откуда он взял более высокую цену.","Не знаю, откуда он взял более высокую цену."
29,1215,"Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели бы иметь.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы они у них были.","Те, кто слышал о Softie 12 Osprey, либо уже использовали его, либо хотели его приобрести.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы он был у них.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы он был у них.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели бы иметь его.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы он у них был.","Те, кто знает о Softie 12 Osprey, либо использовали один, либо хотели, чтобы у них был.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели бы, чтобы он у них был.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы он у них был.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели бы иметь.","Те, кто знает о Softie 12 Osprey, либо пользовались им, либо хотели бы иметь его.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели бы, чтобы он у них был.","Те, кто знает о Softie 12 Osprey, либо использовали его, либо хотели, чтобы он был у них.","Те, кто знает о существовании ""Софти 12 Опей"", либо пользовались ею, либо желали ее иметь.","Все, кому известен Softie 12 Osprey, либо уже им пользовались, либо желают им обзавестись.","Те, кто знает о Softie 12 Osprey либо использовали один, либо хотели, чтобы у них был один."
30,1323,"Шаг 2: Позвоните менеджеру магазина, если их нет.","Шаг 2: Позвоните менеджеру магазина, если их нет на месте.","Шаг 2: Позвоните менеджеру магазина, если его нет.","Шаг 2: Call Store Manager, если их нет.","Шаг 2: Позвоните менеджеру магазина, если его нет.","Шаг 2: Позвоните менеджеру магазина, если их там нет.","Шаг 2. Позвоните менеджеру магазина, если его нет.","Шаг 2: Вызовите менеджера магазина, если их нет.","Шаг 2: Позвоните менеджеру магазина, если их там нет.","Шаг 2: Позвоните менеджеру магазина, если их нет.","Шаг 2: Позвоните менеджеру магазина, если его там нет.","Шаг 2: Позвоните менеджеру магазина, если его нет на месте.","Шаг 2. Позвоните менеджеру магазина, если его там нет.","Шаг 2: Позвоните менеджеру магазина, если их там нет.","Шаг 2: Вызовите менеджера магазина, если они там отсутствуют.","Шаг 2: позвать директора магазина, если его нет на месте.","Шаг 2: Менеджер магазина вызовов, если их нет."
31,1086,"Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полное возмещение фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общую уплаченную стоимость пакета Norton (за вычетом всех скидок или полученных возвратов и за вычетом любых сумки доставки, обработки и применимых налогов, за исключением определенных штатов и стран, где доставка, обработка и налоги подлежат возврату), и только за текущий оплаченный период обслуживания для этой подписки или пакета подписки.","Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полного возмещения фактически уплаченной стоимости подписки Norton или, если это полный комплект Norton, полной суммы уплаченной стоимости пакета Norton (за вычетом любых полученных скидок или возмещений и за вычетом стоимости доставки, обработки и применимых налогов, за исключением определенных штатов и стран, в которых доставка, обработка и налоги подлежат возврату) и только за текущий срок оплачиваемого обслуживания подписки для данной подписки или пакета подписки.","Если представитель сервисной службы Symantec не может удалить вирус с вашего устройства, вам могут возместить полную сумму фактической цены, уплаченной за подписку Norton, или, если речь идет о пакете Norton, уплаченную цену на полный пакет Norton (без всяких скидок или возмещений за вычетом стоимости доставки, обработки и применимых налогов, за исключением следующих штатов и стран, в которых доставка, обработка и налоги подлежат возмещению), и только за текущий оплаченный период обслуживания подписки или пакета подписки.","Если представитель службы Symantec не может удалить вирус с вашего устройства, вы можете получить полный возврат фактической цены, уплаченной за подписку Norton, или если пакет Norton, общая уплаченная цена пакета Norton (за вычетом любых скидок или полученных возвратов и за вычетом любых налогов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только за текущий период оплаченного периода обслуживания подписки на эту подписку или пакет подписки.","Если представитель службы Symantec не может удалить вирус с вашего устройства, то вы можете получить полный возврат от фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общей стоимости пакета Norton (за вычетом всех полученных скидок или возвратов и за вычетом любых налогов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возврату) и только за текущий период платной подписки на эту подписку или подписку.","Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полный возврат средств по фактической цене, уплаченной за подписку Norton, или, если это комплект Norton, по общей цене пакета Norton, уплаченной (за вычетом любых полученных скидок или возвратов и за вычетом любых налогов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возврату) и только за текущий период платной подписки на эту подписку или комплект подписки.","Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полное возмещение фактической цены, уплаченной за подписку Norton, или, если пакет Norton, полную уплаченную стоимость пакета Norton (за вычетом любых скидок или полученных возмещений за вычетом любых налогов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только за текущий период платной подписки для этой подписки или пакета подписки.","Если представитель сервиса Symantec не может удалить вирус с вашего устройства, вы можете получить полное возмещение фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общую цену, уплаченную за пакет Norton (без любых полученных скидок или возмещений, а также с вычетом всех применимых налогов, за исключением некоторых штатов и стран, где возмещается доставка, обработка и налоги), и только за текущий период оплаченной подписки на эту подписку или пакет подписки.","Если сервисный представитель Symantec не сможет удалить вирус с вашего устройства, вы можете получить полный возврат средств за фактическую стоимость, уплаченную за подписку Norton, или, если пакет Norton, полную оплаченную стоимость пакета Norton (за вычетом любых полученных скидок или возмещений и за вычетом любых налогов на доставку, обработку и применимых налогов,  за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только в течение текущего оплаченного периода обслуживания подписки для этой подписки или пакета подписки.","Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полное возмещение фактической стоимости подписки Norton или, если пакет Norton, полную уплаченную стоимость пакета Norton (за вычетом любых скидок или полученных возмещений за вычетом любых расходов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только за текущий период платной подписки для этой подписки или пакета подписки.","Если представитель службы поддержки Symantec не сможет удалить вирус с вашего устройства, вы можете получить полное возмещение фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общей уплаченной стоимости пакета Norton (за вычетом любых полученных скидок или возвратов, а также за вычетом расходов на доставку, обработку и применимые налоги, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возврату) и только в течение текущего периода платного обслуживания подписки для этой подписки или пакета подписки.","Если представитель службы Symantec не сможет удалить вирус с вашего устройства, вы можете получить полное возмещение фактической стоимости подписки на Norton, а в случае пакета Norton - общей стоимости пакета Norton (за вычетом любых полученных скидок или возмещений и за вычетом доставки, обработки и применимых налогов, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возмещению), и только за текущий оплаченный период обслуживания данной подписки или пакета подписок.","Если представитель службы поддержки Symantec не может удалить вирус с вашего устройства, вы можете получить полный возврат фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общей уплаченной стоимости пакета Norton (за вычетом полученных скидок или возмещений и за вычетом стоимости доставки, обработки и применимые налоги, за исключением определенных штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только за текущий платный период обслуживания подписки для этой подписки или пакета подписки.","Если представитель службы поддержки Symantec не может удалить вирус с вашего устройства, вы можете получить полное возмещение от фактической цены, уплаченной за подписку Norton, или, если пакет Norton, от общей стоимости пакета Norton. (за вычетом любых полученных скидок или возмещений и за вычетом любых расходов на доставку, обработку и применимых налогов, за исключением определенных штатов и стран, где доставка, обработка и налоги подлежат возмещению) и только на текущий период обслуживания платной подписки для этой подписки или пакета подписки.","Если представитель сервиса Symantec не может удалить вирус с устройства, то можно получить полный возврат фактической цены, оплаченной за подписку на NTLE, или, если NTLE, общей цены оплаченной услуги NTLE (за вычетом любых скидок или полученных возвратов и за вычетом любых посылок, обработки и применимых налогов, за исключением некоторых штатов и стран, в которых отправка, обработка и налоги возвращаются) и только за текущий платный период обслуживания подписки на эту подписку или подписку.","Если представитель службы Symantec не в состоянии удалить вирус с вашего устройства, тогда вы можете получить возмещение в полном размере текущей стоимости подписки Norton или, в случае приобретения пакета Norton, общую стоимость комплекта Norton (без учета любых полученных скидок или возмещений и без учета применимых налогов, за исключением некоторых штатов и стран, где доставка, обработка заказа и налоги подлежат возмещению) и только за текущий период платной подписки для данной подписки или набора подписок.","Если представитель службы Symantec не может удалить вирус с вашего устройства, то вы можете получить полный возврат от фактической цены, уплаченной за подписку Norton, или, если пакет Norton, общая цена, уплаченная за пакет Norton (за вычетом любых полученных скидок или возвратов и за вычетом любых доставок, обработки и применимых налогов, за исключением некоторых штатов и стран, где доставка, обработка и налоги подлежат возврату) и только за текущий период платной подписки на эту подписку или пакет подписки."
